Organization,Device,Group,Activity,Description,User,Date
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Down' -> 'Up',,2025-07-28T22:00:14.000+0000
Hospitality,3-1655,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Realtek USB GbE Family Controller', MacAddress: 'AC:91:A1:94:E0:4C', IPAddress: '192.168.86.23;2600:6c4e:187f:6581:dd51:af0b:633c:b2fc|fd4a:10a9:64dd:854f:e43c:d580:8386:cfbb|2600:6c4e:187f:6581:28d1:25ac:8ccd:bd21|fd4a:10a9:64dd:854f:28d1:25ac:8ccd:bd21|fe80::ab68:633b:1067:33e5'",,2025-07-28T22:00:14.000+0000
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Up' -> 'Down',,2025-07-28T20:18:03.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T20:08:42.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T20:07:57.000+0000
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Down' -> 'Up',,2025-07-28T20:07:09.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'Microsoft.YourPhone', Version: '1.25061.51.0', User: '<System>'",,2025-07-28T16:02:58.000+0000
Hospitality,3-1655,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 12 Status changed : 'Up' -> 'Down',,2025-07-28T15:53:55.000+0000
Hospitality,3-1655,Hardware,Network Adapter Added,"Network Adapter added: 'Realtek USB GbE Family Controller', MacAddress: 'AC:91:A1:94:E0:4C', IPAddress: '192.168.86.23;fe80::ab68:633b:1067:33e5', InstallDate: '2025-07-28T15:42:59Z'",,2025-07-28T15:42:59.000+0000
Hospitality,3-1655,Software,Software Updated,"Software updated: 'Microsoft 365 Apps for enterprise - en-us', Version: '16.0.18925.20184', User: '<System>'",,2025-07-28T14:43:53.000+0000
Hospitality,3-1655,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #4', MacAddress: '9A:59:7A:AD:BA:BF', IPAddress: '169.254.83.185;fe80::cd77:16ed:b5cb:a897', InstallDate: '2025-07-28T14:42:49Z'",,2025-07-28T14:42:49.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T14:36:19.000+0000
Hospitality,3-1655,Hardware,Disk Volume Removed,Disk volume removed: 'D:',,2025-07-28T14:35:53.000+0000
Hospitality,3-1655,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T14:35:49.000+0000
Hospitality,3-1655,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T14:35:43.000+0000
