Organization,Device,Group,Activity,Description,User,Date
Hospitality,3-1778,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:35:51.000+0000
Hospitality,3-1950,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T22:35:44.000+0000
Hospitality,Josh Bezdek's Macbook Pro,Hardware,Network Adapter Config Changed,"Network Adapter changed: 'en0', MacAddress: '60:3e:5f:56:23:69', IPAddress: '100.64.39.114'",,2025-07-28T22:36:13.132+0000
Hospitality,3-2176,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T22:35:11.000+0000
Hospitality,3-2176,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:34:51.000+0000
Hospitality,3-1687,Hardware,User Account Logged In,"User logged in: 'EW\iguevara', Logged in time: '2025-07-28T22:35:24Z'",,2025-07-28T22:35:23.000+0000
Hospitality,3-1950,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:35:18.000+0000
Hospitality,3-1971,OS Patching,OS Patching Warning,OS patch download error. Error while downloading [-2145107943]. Patch not available for pre-stage. 0 update(s) downloaded. 1 update(s) failed to download.,,2025-07-28T22:35:24.000+0000
Hospitality,3-1722,Software,Software Updated,"Software updated: 'Microsoft.ScreenSketch', Version: '11.2506.25.0', User: '<System>'",,2025-07-28T22:34:58.000+0000
Hospitality,3-1783,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6 AX201 160MHz' InterfaceIndex : 8 Status changed : 'Down' -> 'Up',,2025-07-28T22:33:53.000+0000
Hospitality,3-1783,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Realtek USB GbE Family Controller', MacAddress: 'B0:4F:13:BF:D6:8D', IPAddress: '192.168.42.114;fe80::d268:dc1e:9b20:e969'",,2025-07-28T22:33:53.000+0000
Hospitality,3-2020,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter', MacAddress: 'BE:07:1D:6D:F0:DC', IPAddress: '169.254.252.7;fe80::53e5:20aa:7cb5:a4cf'",,2025-07-28T22:28:14.000+0000
Hospitality,3-2020,Hardware,Network Adapter Deleted,"Network Adapter removed: 'TP-Link Wireless USB Adapter', MacAddress: 'BC:07:1D:6D:F0:DC', IPAddress: '169.254.197.0;fe80::eb93:79b7:9c1b:b996'",,2025-07-28T22:28:14.000+0000
Infrastructure,SL-SH1,Hardware,Disk Partition Removed,"Disk partition removed: 'Disk #8, Partition #0'",,2025-07-28T22:33:17.000+0000
Infrastructure,SL-SH1,Hardware,User Account Logged Out,User logged out : 'EW\NNeal',,2025-07-28T22:33:02.000+0000
Hospitality,3-1971,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:32:38.000+0000
Slifer,THEMACDADDY,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T19:25:22.000+0000
Slifer,THEMACDADDY,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T19:25:17.000+0000
Hospitality,3-1933,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:33:01.000+0000
Hospitality,3-1933,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T22:33:02.000+0000
Hospitality,3-1933,Script,Completed,This machine cannot run any more Windows Patch Management jobs because there is a pending reboot. Please reboot the machine.,,2025-07-28T22:33:02.000+0000
Slifer,2-1335,Software,Software Updated,"Software updated: 'Microsoft.ScreenSketch', Version: '11.2506.25.0', User: '<System>'",,2025-07-28T22:32:25.000+0000
Slifer,MICHELEHART,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: '2A:C5:D2:22:70:A9', IPAddress: '169.254.73.210;fe80::781c:ecdf:4ff9:eb3b', InstallDate: '2025-07-28T22:31:50Z'",,2025-07-28T22:31:50.000+0000
Slifer,TABLET-9O7KBNKC,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T22:32:07.000+0000
Hospitality,3-2057,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:32:00.000+0000
Hospitality,3-2057,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T20:24:43.000+0000
Hospitality,3-2090,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 7 BE200 320MHz' InterfaceIndex : 10 Status changed : 'Up' -> 'Down',,2025-07-28T22:31:58.000+0000
Hospitality,3-2090,Hardware,Network Adapter Added,"Network Adapter added: 'Intel(R) Wi-Fi 7 BE200 320MHz #3', MacAddress: '82:C0:1E:37:7A:CB', IPAddress: '169.254.198.8;fe80::365e:e763:377d:ad86', InstallDate: '2025-07-28T22:31:58Z'",,2025-07-28T22:31:58.000+0000
Hospitality,3-1971,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T22:32:40.000+0000
Hospitality,3-1971,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T22:32:39.000+0000
Hospitality,3-2177,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:43:28.000+0000
Slifer,Dorian Bailey Laptop,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T22:32:28.000+0000
Slifer,Dorian Bailey Laptop,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:32:02.000+0000
Hospitality,3-1971,Hardware,Rebooted,System rebooted at '2025-07-28T22:31:06Z',,2025-07-28T22:31:50.000+0000
Hospitality,3-1971,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: '32:05:05:FD:B1:E6', IPAddress: '169.254.103.209;fe80::8d7d:9a93:3628:8d14'",,2025-07-28T22:31:49.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Mozilla Firefox (x64 en-US)', Version: '141.0', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'MicrosoftWindows.CrossDevice', Version: '1.25062.30.0', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Microsoft.YourPhone', Version: '1.25061.51.0', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Microsoft.Windows.Photos', Version: '2025.11070.8001.0', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Microsoft.OneDriveSync', Version: '25127.701.6.0', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Microsoft Teams Meeting Add-in for Microsoft Office', Version: '1.25.18302', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Microsoft OneDrive', Version: '25.127.0701.0006', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Microsoft Edge', Version: '138.0.3351.109', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'MSTeams', Version: '25185.410.3812.8024', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'Google Chrome', Version: '138.0.7204.169', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1971,Software,Software Updated,"Software updated: 'DellInc.DellDigitalDelivery', Version: '5.6.1.0', User: '<System>'",,2025-07-28T22:31:47.000+0000
Hospitality,3-1910,Hardware,User Account Logged Out,User logged out : '3-1910\bones',,2025-07-28T22:31:26.000+0000
Hospitality,3-1944,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.268.528.0', User: '<System>'",,2025-07-28T22:31:37.000+0000
Hospitality,3-1944,Software,Software Updated,"Software updated: 'MicrosoftCorporationII.WinAppRuntime.Singleton', Version: '7000.522.1444.0', User: '<System>'",,2025-07-28T22:31:37.000+0000
Hospitality,3-1944,Software,Software Updated,"Software updated: 'Microsoft.ScreenSketch', Version: '11.2506.25.0', User: '<System>'",,2025-07-28T22:31:37.000+0000
Partners,1-1108,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 7 BE201 320MHz' InterfaceIndex : 8 Status changed : 'Up' -> 'Down',,2025-07-28T22:31:30.000+0000
Hospitality,VSNO-SLS-SURF2,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: 'C6:9D:ED:0B:04:36', IPAddress: '169.254.230.217;fe80::22e8:5c41:777b:844b', InstallDate: '2025-07-28T22:31:17Z'",,2025-07-28T22:31:17.000+0000
Slifer,TABLET-9O7KBNKC,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:31:42.000+0000
Hospitality,3-1960,Software,Software Updated,"Software updated: 'Microsoft 365 Apps for enterprise - en-us', Version: '16.0.18925.20184', User: '<System>'",,2025-07-28T22:30:57.000+0000
Hospitality,3-1927,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T22:31:03.000+0000
Hospitality,VSNO-FDLEFT,Hardware,User Account Logged Out,User logged out : 'VSNOW\christina.pohorelec',,2025-07-28T22:30:21.000+0000
Hospitality,3-1910,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.268.528.0', User: '<System>'",,2025-07-28T22:30:45.000+0000
Hospitality,3-1910,Hardware,User Account Logged In,"User logged in: '3-1910\bones', Logged in time: '2025-07-28T22:30:24Z'",,2025-07-28T22:30:24.000+0000
Infrastructure,RDP-SH1,Hardware,User Account Logged In,"User logged in: 'EW\FPFrontdesk2', Logged in time: '2025-07-28T22:30:17Z'",,2025-07-28T22:30:17.000+0000
Hospitality,MOWWESTIN1,Hardware,User Account Logged In,"User logged in: 'EW\LCastro', Logged in time: '2025-07-28T22:29:02Z'",,2025-07-28T22:29:01.000+0000
Hospitality,3-1927,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:29:47.000+0000
Infrastructure,VSNOSVR-NAS,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T22:30:17.000+0000
Hospitality,3-1944,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.253.438.0', User: '<System>'",,2025-07-28T22:29:36.000+0000
Hospitality,3-1944,Software,Software Updated,"Software updated: 'MicrosoftCorporationII.WinAppRuntime.Singleton', Version: '7000.456.1632.0', User: '<System>'",,2025-07-28T22:29:36.000+0000
Hospitality,3-1588,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T22:29:42.000+0000
Hospitality,3-2027,Software,Software Updated,"Software updated: 'Microsoft.ScreenSketch', Version: '11.2506.25.0', User: '<System>'",,2025-07-28T22:29:14.000+0000
Hospitality,3-1606,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.268.528.0', User: '<System>'",,2025-07-28T22:28:59.000+0000
Hospitality,3-1606,Software,Software Updated,"Software updated: 'Microsoft.YourPhone', Version: '1.25061.51.0', User: '<System>'",,2025-07-28T22:28:59.000+0000
Slifer,TABLET-9O7KBNKC,Hardware,Network Adapter Added,"Network Adapter added: 'Surface Ethernet Adapter', MacAddress: 'B8:31:B5:31:AC:D6', IPAddress: '169.254.243.230;fe80::aa9b:9805:9a5c:4911', InstallDate: '2025-07-28T22:28:10Z'",,2025-07-28T22:28:10.000+0000
Infrastructure,VSNOSVR-NAS,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:28:56.000+0000
Infrastructure,RA-SH1,Hardware,User Account Logged Out,User logged out : 'RF\aamaya',,2025-07-28T22:27:53.000+0000
Hospitality,3-1588,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T22:28:26.000+0000
Slifer,Dorian Bailey Laptop,SentinelOne,SentinelOne Agent Installation Failed,SentinelOne: installation failed. Installation error: Configuration not found. Unable to proceed with the upgrade.,,2025-07-28T22:29:10.000+0000
Infrastructure,3-1232 (Gadsden Keywatcher Server),Software,Software Updated,"Software updated: 'Microsoft.ScreenSketch', Version: '11.2506.25.0', User: '<System>'",,2025-07-28T22:28:30.000+0000
Infrastructure,3-1232 (Gadsden Keywatcher Server),Software,Software Updated,"Software updated: 'Microsoft.Office.OneNote', Version: '16001.14326.22348.0', User: '<System>'",,2025-07-28T22:28:30.000+0000
